剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,关系演化结局,联动层级序号,联动匹配强度,是否主路径
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,敌对消灭,1,54.45,是
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-049,冲突关系>战争武略>中峰型>中峰-中段征战>敌对和解,冲突关系,战争武略,中峰型,中峰-中段征战,敌对和解,2,54.45,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-054,冲突关系>恩怨报偿>多峰型>多峰-恩怨反复>复仇完成,冲突关系,恩怨报偿,多峰型,多峰-恩怨反复,复仇完成,3,25.2,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-055,冲突关系>恩怨报偿>后峰型>后峰-压轴报偿>阵营转投,冲突关系,恩怨报偿,后峰型,后峰-压轴报偿,阵营转投,4,25.2,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-058,冲突关系>善恶转化>后峰型>后峰-后段反转>善恶翻转,冲突关系,善恶转化,后峰型,后峰-后段反转,善恶翻转,5,22.05,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,6,48.95,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,7,22.4,否
01001001,空城计,历史戏,27.99,0.2195,0.5548,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,8,22.0,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,54.4,是
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,54.4,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,3,35.95,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,4,35.95,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,5,35.5,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,6,28.75,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-039,同盟关系>战争武略>多峰型>多峰-连战递进>同盟破裂,同盟关系,战争武略,多峰型,多峰-连战递进,同盟破裂,7,32.2,否
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,loop-047,同盟关系>政治权力>后峰型>后峰-末端清算>结义同心,同盟关系,政治权力,后峰型,后峰-末端清算,结义同心,8,25.45,否
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,73.0,是
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,73.0,否
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,代际和解,3,49.6,否
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,亲情牺牲,4,49.6,否
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,名节昭彰,5,45.1,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,亲缘团圆,1,30.0,是
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,代际和解,2,30.0,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,亲缘团圆,3,25.95,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,宗族复位,4,25.95,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-060,审判与恩怨关系>公案冤狱>中峰型>中峰-中段审判>冤案昭雪,审判与恩怨关系,公案冤狱,中峰型,中峰-中段审判,冤案昭雪,5,42.85,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-063,审判与恩怨关系>恩怨报偿>多峰型>多峰-恩怨反复>恶人受惩,审判与恩怨关系,恩怨报偿,多峰型,多峰-恩怨反复,恶人受惩,6,24.85,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-034,权力关系>公案冤狱>多峰型>多峰-审断反复>功名显达,权力关系,公案冤狱,多峰型,多峰-审断反复,功名显达,7,40.1,否
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,8,29.3,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,主从归顺,1,50.25,是
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,君臣尽忠,2,50.25,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,功名显达,3,50.25,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,主从归顺,4,50.25,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-049,冲突关系>战争武略>中峰型>中峰-中段征战>敌对和解,冲突关系,战争武略,中峰型,中峰-中段征战,敌对和解,5,39.8,否
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,loop-053,冲突关系>除暴侠义>后峰型>后峰-压轴报偿>阵营转投,冲突关系,除暴侠义,后峰型,后峰-压轴报偿,阵营转投,6,26.75,否
