剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,主角色关系,角色关系集合,核心主题,核心主题序号,核心主题得分,核心主题置信度,次要主题集合,主题组合,主题组合显示,主题数量,主题序号集合,主题得分集合,主题归一得分集合,主题证据词集合,组合ID,文件路径,数据说明
01001001,空城计,历史戏,27.99,0.2195,0.5548,冲突关系,冲突关系|权力关系|亲属关系,战争武略,7,843.29,0.8005,政治权力,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:9.0|政治权力:62.83|婚恋姻缘:0.0|家庭亲情:16.09|公案冤狱:2.0|除暴侠义:4.62|战争武略:843.29|恩怨报偿:17.58|善恶转化:7.28|礼教品格:15.72|宗教祥瑞:5.26|文人世情:69.82,忠义家国:0.0107|政治权力:0.0745|婚恋姻缘:0.0|家庭亲情:0.0191|公案冤狱:0.0024|除暴侠义:0.0055|战争武略:1.0|恩怨报偿:0.0208|善恶转化:0.0086|礼教品格:0.0186|宗教祥瑞:0.0062|文人世情:0.0828,战争武略:空城计、退兵、围困、兵、城,combo-b8241900,01000000/01001001_空城计.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,亲属关系,亲属关系|权力关系|同盟关系,宗教祥瑞,11,128.28,0.2586,家庭亲情|战争武略,家庭亲情|战争武略|宗教祥瑞,家庭亲情 + 战争武略 + 宗教祥瑞,3,4|7|11,忠义家国:25.82|政治权力:29.45|婚恋姻缘:28.5|家庭亲情:108.54|公案冤狱:2.99|除暴侠义:30.38|战争武略:94.05|恩怨报偿:10.25|善恶转化:13.65|礼教品格:18.51|宗教祥瑞:128.28|文人世情:5.62,忠义家国:0.2013|政治权力:0.2295|婚恋姻缘:0.2222|家庭亲情:0.8461|公案冤狱:0.0233|除暴侠义:0.2369|战争武略:0.7332|恩怨报偿:0.0799|善恶转化:0.1064|礼教品格:0.1443|宗教祥瑞:1.0|文人世情:0.0438,家庭亲情:太君、娘亲、关系先验:亲属关系、儿、父|战争武略:将、大战、类别先验:历史戏、兵、关系先验:同盟关系|宗教祥瑞:托梦、梦、鬼,combo-e68fac5d,01000000/01001002_洪羊洞.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,亲属关系,亲属关系,礼教品格,10,616.97,0.4847,家庭亲情,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,忠义家国:2.58|政治权力:35.01|婚恋姻缘:23.17|家庭亲情:516.62|公案冤狱:0.0|除暴侠义:0.54|战争武略:11.04|恩怨报偿:26.83|善恶转化:23.79|礼教品格:616.97|宗教祥瑞:3.19|文人世情:13.28,忠义家国:0.0042|政治权力:0.0567|婚恋姻缘:0.0376|家庭亲情:0.8374|公案冤狱:0.0|除暴侠义:0.0009|战争武略:0.0179|恩怨报偿:0.0435|善恶转化:0.0386|礼教品格:1.0|宗教祥瑞:0.0052|文人世情:0.0215,家庭亲情:教子、母子、子、母、三娘|礼教品格:三娘教子、教子、教、节、类别先验:家庭戏,combo-6bfa251f,01000000/01001003_三娘教子.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,亲属关系,亲属关系|审判与恩怨关系|权力关系,公案冤狱,5,1302.28,0.7897,宗教祥瑞,公案冤狱|宗教祥瑞,公案冤狱 + 宗教祥瑞,2,5|11,忠义家国:4.0|政治权力:16.06|婚恋姻缘:126.03|家庭亲情:17.49|公案冤狱:1302.28|除暴侠义:0.0|战争武略:68.65|恩怨报偿:32.94|善恶转化:21.1|礼教品格:15.72|宗教祥瑞:43.91|文人世情:0.99,忠义家国:0.0031|政治权力:0.0123|婚恋姻缘:0.0968|家庭亲情:0.0134|公案冤狱:1.0|除暴侠义:0.0|战争武略:0.0527|恩怨报偿:0.0253|善恶转化:0.0162|礼教品格:0.0121|宗教祥瑞:0.0337|文人世情:0.0008,公案冤狱:乌盆、包拯、包公、冤、公堂,combo-d79bb21d,01000000/01001004_乌盆计【后本】.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,权力关系,权力关系|冲突关系|亲属关系,礼教品格,10,395.6,0.4851,政治权力,政治权力|礼教品格,政治权力 + 礼教品格,2,2|10,忠义家国:21.87|政治权力:133.17|婚恋姻缘:2.07|家庭亲情:47.25|公案冤狱:2.0|除暴侠义:28.35|战争武略:72.13|恩怨报偿:7.62|善恶转化:22.85|礼教品格:395.6|宗教祥瑞:5.22|文人世情:77.4,忠义家国:0.0553|政治权力:0.3366|婚恋姻缘:0.0052|家庭亲情:0.1194|公案冤狱:0.0051|除暴侠义:0.0717|战争武略:0.1823|恩怨报偿:0.0193|善恶转化:0.0578|礼教品格:1.0|宗教祥瑞:0.0132|文人世情:0.1957,政治权力:丞相、臣、关系先验:权力关系、朝、天子|礼教品格:骂曹、骂、礼、节、关系先验:亲属关系,combo-b014fe84,01000000/01001005_打鼓骂曹.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,权力关系,权力关系|亲属关系|同盟关系,公案冤狱,5,130.35,0.2291,政治权力|家庭亲情|善恶转化,政治权力|家庭亲情|公案冤狱|善恶转化,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,4,2|4|5|9,忠义家国:24.35|政治权力:103.52|婚恋姻缘:1.17|家庭亲情:117.33|公案冤狱:130.35|除暴侠义:15.16|战争武略:34.29|恩怨报偿:13.25|善恶转化:69.9|礼教品格:22.8|宗教祥瑞:6.97|文人世情:29.79,忠义家国:0.1868|政治权力:0.7941|婚恋姻缘:0.009|家庭亲情:0.9001|公案冤狱:1.0|除暴侠义:0.1163|战争武略:0.2631|恩怨报偿:0.1016|善恶转化:0.5362|礼教品格:0.1749|宗教祥瑞:0.0535|文人世情:0.2285,政治权力:宫、太师、官、关系先验:权力关系、类别先验:历史戏|家庭亲情:父亲、父、亲、父母、关系先验:亲属关系|公案冤狱:公堂、公案、冤、关系先验:权力关系、案|善恶转化:悔、改、误杀、错杀、宽恕,combo-528003ee,01000000/01001006_捉放曹.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,亲属关系,亲属关系|同盟关系,家庭亲情,4,232.22,0.5048,战争武略,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,忠义家国:10.31|政治权力:5.48|婚恋姻缘:4.0|家庭亲情:232.22|公案冤狱:2.97|除暴侠义:4.54|战争武略:88.67|恩怨报偿:12.16|善恶转化:13.83|礼教品格:29.24|宗教祥瑞:2.29|文人世情:54.32,忠义家国:0.0444|政治权力:0.0236|婚恋姻缘:0.0172|家庭亲情:1.0|公案冤狱:0.0128|除暴侠义:0.0196|战争武略:0.3819|恩怨报偿:0.0524|善恶转化:0.0596|礼教品格:0.1259|宗教祥瑞:0.0099|文人世情:0.2339,家庭亲情:兄弟、子、父子、母亲、类别先验:家庭戏|战争武略:关、兵、将、计、关系先验:同盟关系,combo-29f389dd,01000000/01001007_桑园寄子.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001008,取成都,历史戏,30.3,0.2271,0.5806,权力关系,权力关系|亲属关系|冲突关系,家庭亲情,4,136.47,0.2848,战争武略|善恶转化,家庭亲情|战争武略|善恶转化,家庭亲情 + 战争武略 + 善恶转化,3,4|7|9,忠义家国:36.9|政治权力:51.61|婚恋姻缘:0.0|家庭亲情:136.47|公案冤狱:2.99|除暴侠义:3.54|战争武略:117.07|恩怨报偿:19.68|善恶转化:73.58|礼教品格:18.39|宗教祥瑞:14.28|文人世情:4.72,忠义家国:0.2704|政治权力:0.3782|婚恋姻缘:0.0|家庭亲情:1.0|公案冤狱:0.0219|除暴侠义:0.0259|战争武略:0.8578|恩怨报偿:0.1442|善恶转化:0.5392|礼教品格:0.1348|宗教祥瑞:0.1046|文人世情:0.0346,政治权力:君臣、王、关系先验:权力关系、臣、类别先验:历史戏|家庭亲情:骨肉、关系先验:亲属关系、子、儿、父|战争武略:兵、城、将军、关、将|善恶转化:降、归顺、善、归、关系先验:冲突关系,combo-b0986cef,01000000/01001008_取成都.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,亲属关系,亲属关系|婚恋关系|同盟关系,家庭亲情,4,446.73,0.4641,婚恋姻缘,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,忠义家国:11.03|政治权力:8.03|婚恋姻缘:311.33|家庭亲情:446.73|公案冤狱:0.99|除暴侠义:4.0|战争武略:31.67|恩怨报偿:36.1|善恶转化:20.4|礼教品格:60.49|宗教祥瑞:3.47|文人世情:28.28,忠义家国:0.0247|政治权力:0.018|婚恋姻缘:0.6969|家庭亲情:1.0|公案冤狱:0.0022|除暴侠义:0.009|战争武略:0.0709|恩怨报偿:0.0808|善恶转化:0.0457|礼教品格:0.1354|宗教祥瑞:0.0078|文人世情:0.0633,婚恋姻缘:夫妻、夫妇、妻、婚姻、关系先验:婚恋关系|家庭亲情:父子、父母、子、父、母子,combo-a95186b5,01000000/01001009_硃砂痣.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
01001010,黄金台,历史戏,27.05,0.2375,0.5569,权力关系,权力关系|亲属关系,战争武略,7,155.53,0.4242,政治权力|家庭亲情,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,忠义家国:15.75|政治权力:77.03|婚恋姻缘:0.0|家庭亲情:61.56|公案冤狱:3.5|除暴侠义:0.0|战争武略:155.53|恩怨报偿:10.25|善恶转化:19.11|礼教品格:18.87|宗教祥瑞:0.77|文人世情:4.28,忠义家国:0.1013|政治权力:0.4953|婚恋姻缘:0.0|家庭亲情:0.3958|公案冤狱:0.0225|除暴侠义:0.0|战争武略:1.0|恩怨报偿:0.0659|善恶转化:0.1229|礼教品格:0.1213|宗教祥瑞:0.0049|文人世情:0.0275,政治权力:王、朝、宫、关系先验:权力关系、类别先验:历史戏|家庭亲情:子、关系先验:亲属关系、亲、儿、父|战争武略:失守、关、将、战、军,combo-e50e2916,01000000/01001010_黄金台.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
