数据范围,主题组合ID,矩阵行排序,主题,主题序号,组合内顺序,剧本数量,主题组合显示,主要核心主题,主要核心关系
全量,T0207,1,政治权力,2,1,153,政治权力 + 战争武略,战争武略,权力关系
全量,T0207,1,战争武略,7,2,153,政治权力 + 战争武略,战争武略,权力关系
全量,T0407,2,家庭亲情,4,1,73,家庭亲情 + 战争武略,战争武略,亲属关系
全量,T0407,2,战争武略,7,2,73,家庭亲情 + 战争武略,战争武略,亲属关系
全量,T0304,3,婚恋姻缘,3,1,56,婚恋姻缘 + 家庭亲情,婚恋姻缘,婚恋关系
全量,T0304,3,家庭亲情,4,2,56,婚恋姻缘 + 家庭亲情,婚恋姻缘,婚恋关系
全量,T0107,4,忠义家国,1,1,47,忠义家国 + 战争武略,战争武略,冲突关系
全量,T0107,4,战争武略,7,2,47,忠义家国 + 战争武略,战争武略,冲突关系
全量,T0607,5,除暴侠义,6,1,44,除暴侠义 + 战争武略,除暴侠义,冲突关系
全量,T0607,5,战争武略,7,2,44,除暴侠义 + 战争武略,除暴侠义,冲突关系
全量,T020407,6,政治权力,2,1,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T020407,6,家庭亲情,4,2,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T020407,6,战争武略,7,3,44,政治权力 + 家庭亲情 + 战争武略,战争武略,权力关系
全量,T0708,7,战争武略,7,1,37,战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T0708,7,恩怨报偿,8,2,37,战争武略 + 恩怨报偿,战争武略,冲突关系
全量,T0709,8,战争武略,7,1,37,战争武略 + 善恶转化,战争武略,冲突关系
全量,T0709,8,善恶转化,9,2,37,战争武略 + 善恶转化,战争武略,冲突关系
全量,T030412,9,婚恋姻缘,3,1,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030412,9,家庭亲情,4,2,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030412,9,文人世情,12,3,33,婚恋姻缘 + 家庭亲情 + 文人世情,家庭亲情,婚恋关系
全量,T030407,10,婚恋姻缘,3,1,33,婚恋姻缘 + 家庭亲情 + 战争武略,婚恋姻缘,婚恋关系
