数据范围,剧本ID,剧本名称,剧目类别,核心关系,核心主题,核心主题序号,次要主题集合,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,网络密度,度中心化,内容量权重,主题证据词集合,主题_忠义家国,主题_政治权力,主题_婚恋姻缘,主题_家庭亲情,主题_公案冤狱,主题_除暴侠义,主题_战争武略,主题_恩怨报偿,主题_善恶转化,主题_礼教品格,主题_宗教祥瑞,主题_文人世情
全量,01001001,空城计,历史戏,冲突关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,1.0,0.0,27.99,战争武略:空城计、退兵、围困、兵、城,0,1,0,0,0,0,1,0,0,0,0,0
全量,01001002,洪羊洞,家庭戏,同盟关系,宗教祥瑞,11,家庭亲情|战争武略,T040711,家庭亲情|战争武略|宗教祥瑞,家庭亲情 + 战争武略 + 宗教祥瑞,3,4|7|11,4,11,0.472222,0.678571,29.83,家庭亲情:太君、娘亲、关系先验:亲属关系、儿、父|战争武略:将、大战、类别先验:历史戏、兵、关系先验:同盟关系|宗教祥瑞:托梦、梦、鬼,0,0,0,1,0,0,1,0,0,0,1,0
全量,01001003,三娘教子,家庭戏,亲属关系,礼教品格,10,家庭亲情,T0410,家庭亲情|礼教品格,家庭亲情 + 礼教品格,2,4|10,4,10,1.0,0.0,24.17,家庭亲情:教子、母子、子、母、三娘|礼教品格:三娘教子、教子、教、节、类别先验:家庭戏,0,0,0,1,0,0,0,0,0,1,0,0
全量,01001004,乌盆计,公案戏,审判与恩怨关系,公案冤狱,5,宗教祥瑞,T0511,公案冤狱|宗教祥瑞,公案冤狱 + 宗教祥瑞,2,5|11,5,11,1.0,0.0,27.76,公案冤狱:乌盆、包拯、包公、冤、公堂,0,0,0,0,1,0,0,0,0,0,1,0
全量,01001005,打鼓骂曹,历史戏,权力关系,礼教品格,10,政治权力,T0210,政治权力|礼教品格,政治权力 + 礼教品格,2,2|10,2,10,1.0,0,30.24,政治权力:丞相、臣、关系先验:权力关系、朝、天子|礼教品格:骂曹、骂、礼、节、关系先验:亲属关系,0,1,0,0,0,0,0,0,0,1,0,0
全量,01001006,捉放曹,历史戏,审判与恩怨关系,公案冤狱,5,政治权力|家庭亲情|善恶转化,T02040509,政治权力|家庭亲情|公案冤狱|善恶转化,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,4,2|4|5|9,2,9,0.666667,0.5,31.07,政治权力:宫、太师、官、关系先验:权力关系、类别先验:历史戏|家庭亲情:父亲、父、亲、父母、关系先验:亲属关系|公案冤狱:公堂、公案、冤、关系先验:权力关系、案|善恶转化:悔、改、误杀、错杀、宽恕,0,1,0,1,1,0,0,0,1,0,0,0
全量,01001007,桑园寄子,家庭戏,亲属关系,家庭亲情,4,战争武略,T0407,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,4,7,1.0,0,27.26,家庭亲情:兄弟、子、父子、母亲、类别先验:家庭戏|战争武略:关、兵、将、计、关系先验:同盟关系,0,0,0,1,0,0,1,0,0,0,0,0
全量,01001008,取成都,历史戏,亲属关系,家庭亲情,4,战争武略|善恶转化,T040709,家庭亲情|战争武略|善恶转化,家庭亲情 + 战争武略 + 善恶转化,3,4|7|9,4,9,0.8,0.333333,30.3,政治权力:君臣、王、关系先验:权力关系、臣、类别先验:历史戏|家庭亲情:骨肉、关系先验:亲属关系、子、儿、父|战争武略:兵、城、将军、关、将|善恶转化:降、归顺、善、归、关系先验:冲突关系,0,0,0,1,0,0,1,0,1,0,0,0
全量,01001009,硃砂痣,家庭戏,亲属关系,家庭亲情,4,婚恋姻缘,T0304,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,3,4,0.6,0.3,29.26,婚恋姻缘:夫妻、夫妇、妻、婚姻、关系先验:婚恋关系|家庭亲情:父子、父母、子、父、母子,0,0,1,1,0,0,0,0,0,0,0,0
全量,01001010,黄金台,历史戏,冲突关系,战争武略,7,政治权力|家庭亲情,T020407,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,2,7,0.733333,0.4,27.05,政治权力:王、朝、宫、关系先验:权力关系、类别先验:历史戏|家庭亲情:子、关系先验:亲属关系、亲、儿、父|战争武略:失守、关、将、战、军,0,1,0,1,0,0,1,0,0,0,0,0
全量,01001011,文昭关,历史戏,冲突关系,战争武略,7,恩怨报偿|文人世情,T070812,战争武略|恩怨报偿|文人世情,战争武略 + 恩怨报偿 + 文人世情,3,7|8|12,7,12,0.833333,0.333333,26.95,战争武略:关、将军、将、军、类别先验:历史戏|恩怨报偿:恩、报、冤仇、报仇、仇|文人世情:文、画、士、花园、琴棋,0,0,0,0,0,0,1,1,0,0,0,1
全量,01001012,黄鹤楼,历史戏,权力关系,战争武略,7,政治权力,T0207,政治权力|战争武略,政治权力 + 战争武略,2,2|7,2,7,0.6,0.3,29.86,政治权力:君臣、臣、关系先验:权力关系、类别先验:历史戏、王|战争武略:将、将军、兵、计、围困,0,1,0,0,0,0,1,0,0,0,0,0
