clean_trade,score_zhongyi,score_zhimou,score_yongwu,score_jiaozha,score_baozao,appear_ratio,sing_ratio,fight_ratio,cry_ratio,laugh_ratio
老生,0.8960000000000001,0.74,0.44799999999999995,0.248,0.264,0.08053301153973218,0.08847304862600362,0.09521315359889117,0.01703796967753556,0.026424055215391356
丑,0.6521739130434783,0.5782608695652174,0.2782608695652174,0.4,0.27391304347826084,0.07244739894324327,0.0,0.064953289455997,0.0009057971014492753,0.036945542380324985
武生,0.8250000000000001,0.5666666666666667,0.8666666666666667,0.26666666666666666,0.39166666666666666,0.04679273829798059,0.035069444444444445,0.046130952380952384,0.0006944444444444445,0.007638888888888889
小生,0.76,0.53,0.52,0.32,0.33999999999999997,0.06842969180067827,0.061552634357512404,0.05903310104529617,0.02422473867595819,0.014285714285714285
净,0.8142857142857143,0.7428571428571429,0.6142857142857142,0.4428571428571429,0.42857142857142855,0.13226621599018076,0.07839042049568365,0.06443171420615029,0.011278195488721804,0.0581254724111867
旦,0.9,0.7,0.35,0.15000000000000002,0.2,0.23966488730723606,0.21893617021276596,0.04127659574468085,0.1151063829787234,0.03
外,1.0,0.7,0.55,0.2,0.2,0.17149122807017542,0.23809523809523808,0.1865079365079365,0.023809523809523808,0.047619047619047616
正旦,0.8,0.3,0.2,0.1,0.2,0.019736842105263157,0.3333333333333333,0.0,0.3333333333333333,0.0
末,0.8,0.5,0.3,0.2,0.1,0.0035587188612099642,0.0,0.0,0.0,0.0
武将,0.8,0.6,0.9,0.3,0.4,0.015086206896551725,0.1111111111111111,0.0,0.0,0.0
老旦,1.0,0.7,0.2,0.1,0.3,0.02631578947368421,0.2857142857142857,0.0,0.14285714285714285,0.0
花旦,0.8,0.6,0.2,0.3,0.1,0.0071174377224199285,0.0,0.0,0.0,0.0
青衣,0.9,0.7,0.2,0.3,0.4,0.02586206896551724,0.0,0.23076923076923078,0.0,0.0
