剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化
01001001,空城计,历史戏,7,21,1.0,0.0
01001002,洪羊洞,家庭戏,9,17,0.472222,0.678571
01001003,三娘教子,家庭戏,3,3,1.0,0.0
01001004,乌盆计,公案戏,4,6,1.0,0.0
01001005,打鼓骂曹,历史戏,2,1,1.0,0
01001006,捉放曹,历史戏,6,10,0.666667,0.5
01001007,桑园寄子,家庭戏,2,1,1.0,0
01001008,取成都,历史戏,5,8,0.8,0.333333
01001009,硃砂痣,家庭戏,6,9,0.6,0.3
01001010,黄金台,历史戏,6,11,0.733333,0.4
01001011,文昭关,历史戏,4,5,0.833333,0.333333
01001012,黄鹤楼,历史戏,6,9,0.6,0.3
01001013,天水关,历史戏,3,2,0.666667,1.0
01001014,七星灯,神怪戏,3,3,1.0,0.0
01001015,战北原,历史戏,2,1,1.0,0
01001016,牧羊卷,家庭戏,8,28,1.0,0.0
01001017,清官册,公案戏,5,6,0.6,0.666667
01001018,双狮图,家庭戏,3,3,1.0,0.0
01001019,柴桑口,历史戏,3,3,1.0,0.0
01001020,宋江闹院,江湖戏,3,3,1.0,0.0
01002001,李陵碑,历史戏,3,3,1.0,0.0
01002003,祭长江,家庭戏,1,0,0,0
01002004,探寒窑,家庭戏,2,1,1.0,0
01002005,落花园,家庭戏,3,3,1.0,0.0
01002006,探阴山,神怪戏,3,3,1.0,0.0
01002007,打金枝,家庭戏,5,9,0.9,0.166667
01002008,八义图,历史戏,4,5,0.833333,0.333333
01002009,鱼肠剑,江湖戏,7,16,0.761905,0.333333
01002010,钓金龟,家庭戏,2,1,1.0,0
01002011,梅龙镇,家庭戏,2,1,1.0,0
01002012,白门楼,历史戏,5,10,1.0,0.0
01002013,华容道,历史戏,2,1,1.0,0
01002014,宇宙锋,家庭戏,3,3,1.0,0.0
01002015,取帅印,历史戏,4,6,1.0,0.0
01002016,打渔杀家,江湖戏,5,8,0.8,0.333333
01002017,黑风帕,神怪戏,6,11,0.733333,0.4
01002018,目莲救母,神怪戏,3,3,1.0,0.0
01002019,红鸾禧,家庭戏,4,6,1.0,0.0
01002020,白状元祭塔,神怪戏,2,1,1.0,0
01003001,琼林宴,公案戏,6,8,0.533333,0.7
01003002,蒋干中计,历史戏,13,57,0.730769,0.318182
01003003,桑园会,家庭戏,3,3,1.0,0.0
01003005,拾黄金,家庭戏,1,0,0,0
01003006,辕门斩子,家庭戏,8,23,0.821429,0.238095
01003008,断太后,公案戏,3,3,1.0,0.0
01003009,打龙袍,家庭戏,6,13,0.866667,0.2
01003010,战蒲关,历史戏,3,3,1.0,0.0
01003011,斩黄袍,历史戏,7,14,0.666667,0.466667
01003012,彩楼配,家庭戏,7,16,0.761905,0.333333
01003013,滑油山,神怪戏,1,0,0,0
01003014,富春楼,家庭戏,2,1,1.0,0
01003015,阴阳河,神怪戏,3,3,1.0,0.0
01003016,打花鼓,家庭戏,3,3,1.0,0.0
01003017,独木关,历史戏,5,7,0.7,0.5
01003018,丑表功,家庭戏,3,3,1.0,0.0
01004001,逍遥津,历史戏,16,78,0.65,0.32381
01004004,盗宗卷,历史戏,7,14,0.666667,0.466667
01004006,辕门射戟,历史戏,4,6,1.0,0.0
01004007,取荥阳,历史戏,5,9,0.9,0.166667
01004008,大保国,历史戏,4,6,1.0,0.0
01004009,忠孝全,历史戏,3,3,1.0,0.0
01004010,双投唐,历史戏,5,10,1.0,0.0
01004011,飞虎山,历史戏,6,14,0.933333,0.1
01004012,女起解,公案戏,3,3,1.0,0.0
01004014,遗翠花,家庭戏,4,6,1.0,0.0
01004015,新安驿,江湖戏,4,6,1.0,0.0
01004016,小上坟,家庭戏,3,3,1.0,0.0
01005001,武家坡,家庭戏,2,1,1.0,0
01005002,浣纱记,历史戏,3,2,0.666667,1.0
01005003,天雷报,家庭戏,6,9,0.6,0.6
01005005,沙陀国,历史戏,5,10,1.0,0.0
01005006,六月雪,公案戏,4,5,0.833333,0.333333
01005007,二进宫,历史戏,5,10,1.0,0.0
01005008,玉堂春,公案戏,0,0,0,0
01005009,孝感天,神怪戏,3,3,1.0,0.0
01005010,御碑亭,家庭戏,9,22,0.611111,0.5
01005011,回荆州,历史戏,6,15,1.0,0.0
01005012,海潮珠,家庭戏,4,6,1.0,0.0
01005013,双摇会,家庭戏,6,13,0.866667,0.2
01005014,胭脂虎,历史戏,5,10,1.0,0.0
01005015,审李七,公案戏,4,6,1.0,0.0
01005016,大劈棺,神怪戏,3,3,1.0,0.0
01005017,柳林池,公案戏,2,1,1.0,0
01006001,连营寨,历史戏,5,8,0.8,0.333333
01006002,战长沙,历史戏,4,5,0.833333,0.333333
01006003,草桥关,历史戏,7,17,0.809524,0.266667
01006004,九更天,公案戏,7,11,0.52381,0.433333
01006005,状元谱,家庭戏,5,7,0.7,0.5
01006006,叹皇陵,历史戏,3,3,1.0,0.0
01006007,定军山,历史戏,10,26,0.577778,0.527778
01006008,宝莲灯,家庭戏,5,9,0.9,0.166667
01006009,连环套,江湖戏,3,2,0.666667,1.0
01006010,落马湖,江湖戏,5,5,0.5,0.416667
01006011,花田错,家庭戏,7,15,0.714286,0.166667
01006012,梵王宫,家庭戏,4,6,1.0,0.0
01006013,孝义节,神怪戏,4,4,0.666667,0.666667
01006014,金水桥,家庭戏,6,12,0.8,0.3
01006015,罗成托梦,神怪戏,3,3,1.0,0.0
01006016,探亲相骂,家庭戏,5,7,0.7,0.5
01006017,双包案,神怪戏,4,6,1.0,0.0
01006018,上天台,历史戏,3,2,0.666667,1.0
01006019,三疑计,家庭戏,4,6,1.0,0.0
01007001,卖马,江湖戏,6,12,0.8,0.3
01007002,八大锤,历史戏,4,6,1.0,0.0
01007003,铡美案,公案戏,5,10,1.0,0.0
01007004,五台山,历史戏,3,3,1.0,0.0
01007005,凤鸣关,历史戏,2,1,1.0,0
01007006,罗成叫关,历史戏,2,1,1.0,0
01007008,别宫,家庭戏,2,1,1.0,0
01007011,蝴蝶杯,家庭戏,19,75,0.438596,0.441176
01007013,刺王僚,历史戏,3,2,0.666667,1.0
01007014,五雷阵,神怪戏,4,4,0.666667,0.666667
01007015,铁莲花,家庭戏,4,6,1.0,0.0
01007016,纺棉花,家庭戏,2,1,1.0,0
01008003,汾河湾,家庭戏,3,3,1.0,0.0
01008004,阳平关,历史戏,6,14,0.933333,0.1
01008005,算粮登殿,家庭戏,8,27,0.964286,0.047619
01008006,虹霓关,历史戏,6,12,0.8,0.3
01008008,杜十娘,家庭戏,7,12,0.571429,0.6
01008009,遇龙封官,历史戏,3,3,1.0,0.0
01008010,二姐逛庙,家庭戏,3,3,1.0,0.0
01008011,双钉记,公案戏,4,4,0.666667,0.666667
01009001,失街亭,历史戏,4,5,0.833333,0.333333
01009002,斩马谡,历史戏,3,3,1.0,0.0
01009003,凤仪亭,历史戏,3,3,1.0,0.0
01009004,十八扯,家庭戏,2,1,1.0,0
01009005,岳家庄,历史戏,5,10,1.0,0.0
01009006,长坂坡,历史戏,10,19,0.422222,0.583333
01009008,白良关,历史戏,8,18,0.642857,0.47619
01009009,卖绒花,家庭戏,0,0,0,0
01009010,伐子都,历史戏,3,3,1.0,0.0
01009011,雁门关,历史戏,2,1,1.0,0
01009012,青石山,神怪戏,8,11,0.392857,0.428571
01009013,长亭会,历史戏,2,1,1.0,0
01009014,濮阳城,历史戏,5,8,0.8,0.333333
01009015,战樊城,历史戏,6,12,0.8,0.3
01009016,进蛮诗,历史戏,5,10,1.0,0.0
01009018,失印救火,公案戏,4,6,1.0,0.0
01010001,马鞍山,家庭戏,2,1,1.0,0
01010002,宫门带,历史戏,6,9,0.6,0.6
01010003,渭水河,历史戏,0,0,0,0
01010004,法场换子,家庭戏,3,2,0.666667,1.0
01010005,忠孝牌,家庭戏,4,6,1.0,0.0
01010006,忠孝图,家庭戏,3,3,1.0,0.0
01010007,打面缸,公案戏,5,10,1.0,0.0
01010010,锁云囊,江湖戏,4,5,0.833333,0.333333
01010011,人才驸马,历史戏,6,15,1.0,0.0
01010012,查头关,历史戏,3,3,1.0,0.0
01010013,双断桥,神怪戏,3,3,1.0,0.0
01010014,卖饽饽,家庭戏,3,3,1.0,0.0
01010015,荐诸葛,历史戏,6,15,1.0,0.0
01010016,风云会,历史戏,2,1,1.0,0
01010017,烟鬼叹,家庭戏,3,3,1.0,0.0
01011001,渑池会,历史戏,5,10,1.0,0.0
01011002,请宋灵,历史戏,8,18,0.642857,0.285714
01011003,回龙阁,家庭戏,8,26,0.928571,0.095238
01011004,烧绵山,历史戏,8,22,0.785714,0.285714
01011005,监酒令,历史戏,2,1,1.0,0
01011007,芦花河,历史戏,3,3,1.0,0.0
01011008,马上缘,家庭戏,4,4,0.666667,0.666667
01011009,拿高登,江湖戏,8,17,0.607143,0.333333
01011010,明月珠,家庭戏,3,3,1.0,0.0
