剧本id,剧本名称,事件/场次ID【阶段】,顺序编号,表演形式密度,冲突强度,情绪强度,角色活跃度,关系变化次数,综合剧情强度,关键事件摘要
01001001,空城计,第一场【开端】,1,5.8,0.0,4.5,10.0,0,5.08,诸葛亮布置空城计
01001001,空城计,第二场【发展】,2,1.28,0.0,0.0,3.0,0,1.07,司马懿疑虑重重
01001001,空城计,第三场【发展】,3,0.34,0.0,0.0,1.5,0,0.46,司马懿退兵
01001001,空城计,第四场【高潮】,4,10.0,2.5,10.0,10.0,0,8.12,司马懿决定进攻
01001001,空城计,第五场【高潮】,5,4.16,0.0,0.0,6.0,0,2.54,司马懿撤军
01001001,空城计,第六场【结局】,6,0.98,0.0,0.0,3.0,0,0.99,诸葛亮成功迷惑司马懿
01001002,洪羊洞,第一场【开端】,1,2.84,0.0,0.0,1.5,0,1.08,主角登场，初步设定背景
01001002,洪羊洞,第二场【发展】,2,10.0,0.0,4.5,6.0,2,5.12,多角色互动，情节推进
01001002,洪羊洞,第三场【发展】,3,3.64,0.0,0.0,3.0,1,1.66,两角色对话，深化剧情
01001002,洪羊洞,第四场【发展】,4,2.36,0.0,0.0,1.5,0,0.96,主角独白，内心活动
01001002,洪羊洞,第五场【发展】,5,2.36,0.0,0.0,1.5,0,0.96,主角独白，内心活动
01001002,洪羊洞,第六场【发展】,6,1.96,0.0,0.0,4.5,1,1.61,三角色互动，冲突加剧
01001002,洪羊洞,第七场【高潮】,7,9.52,0.0,3.0,4.5,2,4.25,激烈冲突，剧情转折
01001002,洪羊洞,第八场【高潮】,8,10.0,0.0,3.0,4.5,1,4.38,紧张对峙，悬念迭起
01001002,洪羊洞,第九场【高潮】,9,5.22,0.0,1.5,3.0,1,2.43,情感爆发，关系转变
01001002,洪羊洞,第十场【结局】,10,10.0,0.0,10.0,9.0,2,7.25,大场面收尾，剧情完结
01001003,三娘教子,第一场(自动推断)【高潮】,1,10.0,0.0,10.0,4.5,0,6.12,剧情推进
01001004,乌盆计,第一场【开端】,1,10.0,0.0,7.5,4.5,0,5.5,主要角色登场，背景介绍
01001004,乌盆计,第二场【结局】,2,10.0,5.0,6.0,6.0,0,6.75,剧情推进
01001005,打鼓骂曹,第一场【开端】,1,0.32,0.0,3.0,1.5,0,1.21,曹操与祢衡初次交锋
01001005,打鼓骂曹,第二场【发展】,2,10.0,0.0,10.0,6.0,1,6.5,祢衡击鼓骂曹，激怒曹操
