剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
01001001,空城计,M03,多峰波折型,The Rollercoaster,6,77-11-38-63.5-26,开端:敌我攻守；发展:谋略试探；转折:情绪爆发；高潮:敌我攻守；结局:敌我攻守,开端,77.0,66.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅66.0点。,0.86,"开端:第一场(敌我攻守,77%)；发展:第二场(谋略试探,11%)；转折:第三场(情绪爆发,38%)；高潮:第四场(敌我攻守,68%)；结局:第六场(敌我攻守,26%)"
01001002,洪羊洞,M06,结尾爆发型,The Final Reveal,10,37-30-16-69-73,开端:神怪显灵；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,73.0,57.0,4,1,峰值出现在结局(73.0)，高于前四阶段平均35.0点。,0.83,"开端:第一场(神怪显灵,37%)；发展:第二场(骨肉伦理,61%)；转折:第五场(敌我攻守,16%)；高潮:第七场(敌我攻守,76%)；结局:第十场(骨肉伦理,73%)"
01001003,三娘教子,M08,独场凝缩型,The Condensed One-scene,1,56-56-56-56-56,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,56.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,56%)；发展:独场(骨肉伦理,56%)；转折:独场(骨肉伦理,56%)；高潮:独场(骨肉伦理,56%)；结局:独场(骨肉伦理,56%)"
01001004,乌盆计,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,58%)；发展:第一场(骨肉伦理,58%)；转折:第一场(骨肉伦理,58%)；高潮:第一场(骨肉伦理,58%)；结局:第一场(骨肉伦理,58%)"
01001005,打鼓骂曹,M03,多峰波折型,The Rollercoaster,4,12-69-51-51-81,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:君臣撕裂,结局,81.0,69.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅69.0点。,0.86,"开端:第一场(骨肉伦理,12%)；发展:第二场(敌我攻守,69%)；转折:第三场(敌我攻守,51%)；高潮:第三场(敌我攻守,51%)；结局:第四场(君臣撕裂,81%)"
01001006,捉放曹,M06,结尾爆发型,The Final Reveal,4,50-57-60-60-80,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,80.0,30.0,0,0,峰值出现在结局(80.0)，高于前四阶段平均23.2点。,0.83,"开端:第一场(骨肉伦理,50%)；发展:第二场(骨肉伦理,57%)；转折:第三场(敌我攻守,60%)；高潮:第三场(敌我攻守,60%)；结局:第四场(敌我攻守,80%)"
01001007,桑园寄子,M06,结尾爆发型,The Final Reveal,5,55-59-60-44-72,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,72.0,28.0,2,0,峰值出现在结局(72.0)，高于前四阶段平均17.5点。,0.83,"开端:第一场(骨肉伦理,55%)；发展:第二场(敌我攻守,59%)；转折:第三场(敌我攻守,60%)；高潮:第四场(敌我攻守,44%)；结局:第五场(骨肉伦理,72%)"
01001008,取成都,M03,多峰波折型,The Rollercoaster,5,88-34-83-40-71,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,开端,88.0,54.0,3,1,五阶段显著峰值3个、阶段方向切换3次，振幅54.0点。,0.86,"开端:第一场(敌我攻守,88%)；发展:第二场(敌我攻守,34%)；转折:第三场(敌我攻守,83%)；高潮:第四场(敌我攻守,40%)；结局:第五场(骨肉伦理,71%)"
01001009,硃砂痣,M03,多峰波折型,The Rollercoaster,6,67-39-67-49-77,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,77.0,38.0,3,1,五阶段显著峰值3个、阶段方向切换3次，振幅38.0点。,0.86,"开端:第一场(骨肉伦理,67%)；发展:第二场(骨肉伦理,39%)；转折:第三场(骨肉伦理,67%)；高潮:第五场(骨肉伦理,71%)；结局:第六场(骨肉伦理,77%)"
01001010,黄金台,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(骨肉伦理,76%)；发展:第二场(骨肉伦理,76%)；转折:第二场(骨肉伦理,76%)；高潮:第二场(骨肉伦理,76%)；结局:第二场(骨肉伦理,76%)"
01001011,文昭关,M03,多峰波折型,The Rollercoaster,7,81-50.5-80-43-81,开端:敌我攻守；发展:君臣撕裂；转折:骨肉伦理；高潮:君臣撕裂；结局:君臣撕裂,开端,81.0,38.0,3,0,五阶段显著峰值3个、阶段方向切换3次，振幅38.0点。,0.86,"开端:第一场(敌我攻守,81%)；发展:第三场(敌我攻守,79%)；转折:第四场(骨肉伦理,80%)；高潮:第五场(君臣撕裂,51%)；结局:第七场(君臣撕裂,81%)"
01001012,黄鹤楼,M03,多峰波折型,The Rollercoaster,5,57-38-47-52-75,开端:君臣撕裂；发展:敌我攻守；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,结局,75.0,37.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅37.0点。,0.86,"开端:第一场(君臣撕裂,57%)；发展:第二场(敌我攻守,38%)；转折:第三场(君臣撕裂,47%)；高潮:第四场(君臣撕裂,52%)；结局:第五场(君臣撕裂,75%)"
01001013,天水关,M02,渐强推进型,The Snowball / Crescendo,7,25-41-42-68-60,开端:君臣撕裂；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,高潮,68.0,43.0,3,1,整体斜率为正(35.0)，阶段回落1次，峰值靠后。,0.86,"开端:第一场(君臣撕裂,25%)；发展:第三场(敌我攻守,46%)；转折:第四场(敌我攻守,42%)；高潮:第六场(敌我攻守,83%)；结局:第七场(敌我攻守,60%)"
01001014,七星灯,M03,多峰波折型,The Rollercoaster,5,73-27-70-48-35,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,73.0,46.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅46.0点。,0.86,"开端:第一场(敌我攻守,73%)；发展:第二场(敌我攻守,27%)；转折:第三场(敌我攻守,70%)；高潮:第四场(敌我攻守,48%)；结局:第五场(敌我攻守,35%)"
01001015,战北原,M08,独场凝缩型,The Condensed One-scene,1,55-55-55-55-55,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,55.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,55%)；发展:独场(敌我攻守,55%)；转折:独场(敌我攻守,55%)；高潮:独场(敌我攻守,55%)；结局:独场(敌我攻守,55%)"
01001016,牧羊卷,M08,独场凝缩型,The Condensed One-scene,1,56-56-56-56-56,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,56.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,56%)；发展:独场(骨肉伦理,56%)；转折:独场(骨肉伦理,56%)；高潮:独场(骨肉伦理,56%)；结局:独场(骨肉伦理,56%)"
01001017,清官册,M06,结尾爆发型,The Final Reveal,5,43-69-60-54-76,开端:骨肉伦理；发展:君臣撕裂；转折:骨肉伦理；高潮:君臣撕裂；结局:敌我攻守,结局,76.0,33.0,2,1,峰值出现在结局(76.0)，高于前四阶段平均19.5点。,0.83,"开端:第一场(骨肉伦理,43%)；发展:第二场(君臣撕裂,69%)；转折:第三场(骨肉伦理,60%)；高潮:第四场(君臣撕裂,54%)；结局:第五场(敌我攻守,76%)"
01001018,双狮图,M08,独场凝缩型,The Condensed One-scene,1,53-53-53-53-53,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,53.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,53%)；发展:独场(骨肉伦理,53%)；转折:独场(骨肉伦理,53%)；高潮:独场(骨肉伦理,53%)；结局:独场(骨肉伦理,53%)"
01001019,柴桑口,M03,多峰波折型,The Rollercoaster,3,42-69-59-69-59,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,69.0,27.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅27.0点。,0.86,"开端:第一场(敌我攻守,42%)；发展:第二场(敌我攻守,69%)；转折:第三场(敌我攻守,59%)；高潮:第二场(敌我攻守,69%)；结局:第三场(敌我攻守,59%)"
01001020,宋江闹院,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:情爱婚恋；发展:情爱婚恋；转折:情爱婚恋；高潮:情爱婚恋；结局:情爱婚恋,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(情爱婚恋,56%)；发展:第一场(情爱婚恋,56%)；转折:第一场(情爱婚恋,56%)；高潮:第一场(情爱婚恋,56%)；结局:第一场(情爱婚恋,56%)"
01002001,李陵碑,M03,多峰波折型,The Rollercoaster,5,60-75-64-18-72,开端:骨肉伦理；发展:骨肉伦理；转折:肢体冲突；高潮:情绪爆发；结局:骨肉伦理,发展,75.0,57.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅57.0点。,0.86,"开端:第一场(骨肉伦理,60%)；发展:第二场(骨肉伦理,75%)；转折:第三场(肢体冲突,64%)；高潮:第四场(情绪爆发,18%)；结局:第五场(骨肉伦理,72%)"
01002003,祭长江,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(君臣撕裂,62%)；发展:第一场(君臣撕裂,62%)；转折:第一场(君臣撕裂,62%)；高潮:第一场(君臣撕裂,62%)；结局:第一场(君臣撕裂,62%)"
