character_id,play_id,name,trade,raw_trade,standard_trade,major_trade,role_level,role_level_label,network_rank,role_order,scene_count,speech_count,mention_count,text_length,importance,scene_ids,primary_scene_id,linked_theme_ids,linked_themes
char_5bd9ab7d33,01004001,汉献帝,老生,,老生,生,major,主要人物,4,1,4,38,47,1516,0.4671,"[""01004001_scene_03"", ""01004001_scene_04"", ""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_03,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_f3810a5819,01004001,曹操,净,,净,净,core,核心人物,1,2,6,88,110,3520,1,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_04"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_374304c741,01004001,伏后,旦,,旦,旦,major,主要人物,5,3,5,14,43,764,0.2993,"[""01004001_scene_04"", ""01004001_scene_07"", ""01004001_scene_08"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_women""]","[""女性命运""]"
char_f4f2a7d2a5,01004001,曹妃,旦,,旦,旦,minor,次要人物,14,4,3,10,17,436,0.1645,"[""01004001_scene_04"", ""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_women""]","[""女性命运""]"
char_0eed08a290,01004001,穆顺,老生,生,老生,生,core,核心人物,2,5,6,47,77,2026,0.6316,"[""01004001_scene_04"", ""01004001_scene_05"", ""01004001_scene_06"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_04,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_d31af1963e,01004001,二皇子,小生,娃娃生,小生,生,minor,次要人物,15,6,2,4,14,232,0.0987,"[""01004001_scene_08"", ""01004001_scene_10""]",01004001_scene_08,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_3a14353798,01004001,伏完,老生,生,老生,生,minor,次要人物,16,7,1,6,8,244,0.0789,"[""01004001_scene_05""]",01004001_scene_05,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_371bd8c4c9,01004001,华歆,丑,,丑,丑,major,主要人物,3,8,6,40,71,1768,0.5559,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_08"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_power""]","[""权谋斗争""]"
char_fc0452451c,01004001,司马懿,老生,,老生,生,major,主要人物,6,9,5,21,30,870,0.2862,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_ef2470268b,01004001,贾诩,老生,,老生,生,minor,次要人物,8,10,2,19,23,754,0.2204,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
char_9293a66f56,01004001,郄虑,净,,净,净,minor,次要人物,13,11,2,14,18,564,0.1711,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_power"", ""theme_war""]","[""权谋斗争"", ""战争征伐""]"
char_5f515736d9,01004001,王粲,老生,生,老生,生,minor,次要人物,11,12,2,15,19,602,0.1809,"[""01004001_scene_02"", ""01004001_scene_03""]",01004001_scene_02,"[""theme_loyalty"", ""theme_power""]","[""权谋斗争"", ""忠义家国""]"
