play_id,theme_id,theme,score,share,rank,evidence
01004001,theme_power,权谋斗争,379,0.4752,1,权
01004001,theme_loyalty,忠义家国,191.5,0.2401,2,忠
01004001,theme_war,战争征伐,110,0.1379,3,兵
01004001,theme_women,女性命运,117,0.1467,4,女
01012004,theme_chivalry,复仇侠义,154,0.3319,1,仇
01012004,theme_trial,公案审判,78,0.1681,2,案
01012004,theme_loyalty,忠义家国,48,0.1034,3,义
01012004,theme_comedy,市井滑稽,184,0.3966,4,笑
01040005,theme_love,婚恋情缘,133,0.1556,1,婚
01040005,theme_women,女性命运,320.5,0.3749,2,女
01040005,theme_family,家庭伦理,340,0.3977,3,父
01040005,theme_comedy,市井滑稽,61.5,0.0719,4,笑
02008006,theme_power,权谋斗争,476.5,0.3557,1,权
02008006,theme_loyalty,忠义家国,222,0.1657,2,忠
02008006,theme_war,战争征伐,267,0.1993,3,兵
02008006,theme_women,女性命运,374,0.2792,4,女
04008002,theme_chivalry,复仇侠义,150,0.1985,1,仇
04008002,theme_women,女性命运,415.5,0.55,2,女
04008002,theme_love,婚恋情缘,97,0.1284,3,婚
04008002,theme_trial,公案审判,93,0.1231,4,告
