relation_id,play_id,source_character_id,target_character_id,source,target,source_trade,target_trade,source_raw_trade,target_raw_trade,source_standard_trade,target_standard_trade,source_level,target_level,source_level_label,target_level_label,relation_type,relation_label,relation_desc,weight,relation_rank,scene_ids,first_scene_no,last_scene_no,evidence
rel_44c0f789ac,01004001,char_371bd8c4c9,char_f3810a5819,华歆,曹操,丑,净,,,丑,净,major,core,主要人物,核心人物,power,权力牵制,华歆与曹操在5场中形成权力牵制,6.4,1,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",2,10,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_396a2e459f,01004001,char_fc0452451c,char_f3810a5819,司马懿,曹操,老生,净,,,老生,净,major,core,主要人物,核心人物,power,权力牵制,司马懿与曹操在5场中形成权力牵制,6.4,2,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07"", ""01004001_scene_09"", ""01004001_scene_10""]",2,10,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_b2540503fa,01004001,char_fc0452451c,char_13010376c1,司马懿,夏侯渊,老生,净,,,老生,净,major,major,主要人物,主要人物,command,差遣统属,司马懿与夏侯渊在3场中形成差遣统属,4.09,9,"[""01004001_scene_02"", ""01004001_scene_03"", ""01004001_scene_07""]",2,7,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_f45029bab8,01004001,char_13010376c1,char_ef2470268b,夏侯渊,贾诩,净,老生,,,净,老生,major,minor,主要人物,次要人物,command,差遣统属,夏侯渊与贾诩在2场中形成差遣统属,2.79,10,"[""01004001_scene_02"", ""01004001_scene_03""]",2,3,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_5cd08bb7e9,01004001,char_371bd8c4c9,char_2051f692a9,华歆,曹植,丑,小生,,,丑,小生,major,minor,主要人物,次要人物,command,差遣统属,华歆与曹植在2场中形成差遣统属,2.79,11,"[""01004001_scene_02"", ""01004001_scene_03""]",2,3,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_c56a9c7c5a,01004001,char_f3810a5819,char_5f515736d9,曹操,王粲,净,老生,,生,净,老生,core,minor,核心人物,次要人物,command,差遣统属,曹操与王粲在2场中形成差遣统属,2.79,12,"[""01004001_scene_02"", ""01004001_scene_03""]",2,3,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_715e153743,01004001,char_fc0452451c,char_0a8b880df0,司马懿,文聘,老生,老生,,生,老生,老生,major,minor,主要人物,次要人物,command,差遣统属,司马懿与文聘在2场中形成差遣统属,2.79,13,"[""01004001_scene_02"", ""01004001_scene_03""]",2,3,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_a4d313e650,01004001,char_13010376c1,char_9293a66f56,夏侯渊,郄虑,净,净,,,净,净,major,minor,主要人物,次要人物,command,差遣统属,夏侯渊与郄虑在2场中形成差遣统属,2.79,14,"[""01004001_scene_02"", ""01004001_scene_03""]",2,3,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安
rel_aa0e4201c8,01004001,char_f3810a5819,char_5bd9ab7d33,曹操,汉献帝,净,老生,,,净,老生,core,major,核心人物,主要人物,power,权力牵制,曹操与汉献帝在3场中形成权力牵制,4.34,6,"[""01004001_scene_03"", ""01004001_scene_04"", ""01004001_scene_10""]",3,10,汉献帝海晏河清，社稷宁，四海升平
rel_de07d47b2c,01004001,char_371bd8c4c9,char_5bd9ab7d33,华歆,汉献帝,丑,老生,,,丑,老生,major,major,主要人物,主要人物,conflict,冲突对峙,华歆与汉献帝在3场中形成冲突对峙,4.24,8,"[""01004001_scene_03"", ""01004001_scene_08"", ""01004001_scene_10""]",3,10,汉献帝海晏河清，社稷宁，四海升平
