scene_id,play_id,scene_no,scene_label,stage_type,conflict_type,summary,character_ids,relation_ids,performance_density,role_activity,conflict_strength,relation_change_strength,emotion_strength,plot_strength
01004001_scene_01,01004001,1,第一场,开端,权力冲突,张辽腰悬昆吾剑，虎将血染衣,"[""char_edcb7fdd8b""]",[],0.0625,0.0875,0,0.0625,0,0.2719
01004001_scene_02,01004001,2,第二场,发展,军事冲突,夏侯渊、司马懿、华歆、贾诩、郄虑、王粲、曹植、文聘懦弱之君，社稷将倾，干戈兴，国不安,"[""char_ef2470268b"", ""char_2051f692a9"", ""char_13010376c1"", ""char_371bd8c4c9"", ""char_fc0452451c"", ""char_5f515736d9"", ""char_0a8b880df0"", ""char_9293a66f56"", ""char_edcb7fdd8b"", ""char_f3810a5819""]","[""rel_44c0f789ac"", ""rel_396a2e459f"", ""rel_b2540503fa"", ""rel_f45029bab8"", ""rel_5cd08bb7e9"", ""rel_c56a9c7c5a"", ""rel_715e153743"", ""rel_a4d313e650""]",0.625,1,0.0556,0.6444,0.2857,0.5255
01004001_scene_03,01004001,3,第三场,发展,军事冲突,汉献帝海晏河清，社稷宁，四海升平,"[""char_f3810a5819"", ""char_5bd9ab7d33"", ""char_371bd8c4c9"", ""char_fc0452451c"", ""char_ef2470268b"", ""char_9293a66f56"", ""char_5f515736d9"", ""char_2051f692a9"", ""char_0a8b880df0"", ""char_13010376c1"", ""char_edcb7fdd8b""]","[""rel_44c0f789ac"", ""rel_396a2e459f"", ""rel_b2540503fa"", ""rel_f45029bab8"", ""rel_5cd08bb7e9"", ""rel_c56a9c7c5a"", ""rel_715e153743"", ""rel_a4d313e650"", ""rel_aa0e4201c8"", ""rel_de07d47b2c"", ""rel_38dcd7ac84""]",0.6875,0.7375,0.3889,0.8236,0,0.5878
01004001_scene_04,01004001,4,第四场,发展,军事冲突,伏后风吹玉珮响，曹妃明月照纱窗,"[""char_5bd9ab7d33"", ""char_374304c741"", ""char_0eed08a290"", ""char_f4f2a7d2a5"", ""char_f3810a5819""]","[""rel_aa0e4201c8"", ""rel_41343eab86"", ""rel_965dac11e1"", ""rel_6fdec4bbcc"", ""rel_a5130119e4""]",0.3125,0.95,0.4444,0.4681,0.7143,0.5776
01004001_scene_05,01004001,5,第五场,发展,权力冲突,穆顺来此已是相府，门上哪位在,"[""char_3a14353798"", ""char_0eed08a290""]","[""rel_d2885b1e9f""]",0.125,0.3375,0.0556,0.1444,0,0.3076
01004001_scene_06,01004001,6,第六场,发展,权力冲突,夏侯渊俺，夏侯渊,"[""char_13010376c1"", ""char_0eed08a290""]",[],0.125,0.1625,0.1667,0.1833,0,0.3354
01004001_scene_07,01004001,7,第七场,发展,军事冲突,曹操适才夏侯渊报道，穆顺出宫，赶往伏相府而去,"[""char_f3810a5819"", ""char_0eed08a290"", ""char_371bd8c4c9"", ""char_374304c741"", ""char_fc0452451c"", ""char_13010376c1""]","[""rel_44c0f789ac"", ""rel_396a2e459f"", ""rel_b2540503fa"", ""rel_41343eab86"", ""rel_965dac11e1"", ""rel_6fdec4bbcc""]",0.375,1,1,0.725,0.2143,0.6634
01004001_scene_08,01004001,8,第八场,发展,军事冲突,汉献帝曹孟德起谋意令人可恨，今早朝刺寡人胆战心惊,"[""char_5bd9ab7d33"", ""char_371bd8c4c9"", ""char_f4f2a7d2a5"", ""char_d31af1963e"", ""char_374304c741""]","[""rel_de07d47b2c"", ""rel_a5130119e4""]",0.3125,0.8375,0.2778,0.4097,0.2857,0.4717
01004001_scene_09,01004001,9,第九场,发展,军事冲突,华歆伏后拿到,"[""char_f3810a5819"", ""char_371bd8c4c9"", ""char_374304c741"", ""char_fc0452451c"", ""char_0eed08a290""]","[""rel_44c0f789ac"", ""rel_396a2e459f"", ""rel_41343eab86"", ""rel_965dac11e1"", ""rel_6fdec4bbcc""]",0.3125,0.825,0.5556,0.5069,0.2857,0.5411
01004001_scene_10,01004001,10,第十场,结局,军事冲突,汉献帝父子们在宫院伤心落泪，汉献帝叫孤王思想起好不伤悲,"[""char_f3810a5819"", ""char_5bd9ab7d33"", ""char_371bd8c4c9"", ""char_f4f2a7d2a5"", ""char_fc0452451c"", ""char_d31af1963e"", ""char_0eed08a290"", ""char_374304c741""]","[""rel_44c0f789ac"", ""rel_396a2e459f"", ""rel_aa0e4201c8"", ""rel_de07d47b2c"", ""rel_41343eab86"", ""rel_965dac11e1"", ""rel_6fdec4bbcc"", ""rel_a5130119e4"", ""rel_b2d1498a70""]",0.5,1,1,0.85,0.6429,0.7714
