play_id,script_name,trade,raw_trades,role_count,avg_importance,avg_presence,avg_relation,character_ids
01004001,逍遥津,老生,生|老生,8,0.2812,0.5208,0.3399,char_5bd9ab7d33|char_0eed08a290|char_3a14353798|char_fc0452451c|char_ef2470268b|char_5f515736d9|char_0a8b880df0|char_edcb7fdd8b
01004001,逍遥津,净,净,3,0.4781,0.6667,0.5496,char_f3810a5819|char_9293a66f56|char_13010376c1
01004001,逍遥津,旦,旦,2,0.2319,0.6666,0.5219,char_374304c741|char_f4f2a7d2a5
01004001,逍遥津,小生,娃娃生|小生,2,0.1447,0.3333,0.1378,char_d31af1963e|char_2051f692a9
01004001,逍遥津,丑,丑,1,0.5559,1,0.6995,char_371bd8c4c9
01012004,莲花湖,老生,生,2,0.6833,0.85,0.844,char_5df3a7f526|char_f854a868ec
01012004,莲花湖,丑,丑,3,0.1193,0.1,0.1323,char_b2ff5b6b94|char_6c4056dd77|char_528fa58a93
01012004,莲花湖,武生,武生,10,0.2396,0.48,0.4238,char_630e467223|char_e5f6b8a40a|char_22b51c72dc|char_228580aa21|char_746f0417fa|char_e67d49fc6b|char_ce90917009|char_c6f88e3626|char_58d44bc5d2|char_5765b8dea6
01012004,莲花湖,旦,旦,1,0.0762,0.1,0.0906,char_8ed02c4fe8
01012004,莲花湖,花旦,花旦,1,0.1525,0.1,0.0906,char_18bd033d0f
01012004,莲花湖,净,净,1,0.0792,0.3,0.1557,char_019e07d9cb
01040005,万花船,花旦,彩旦|花旦,2,0.4154,0.4445,0.5328,char_a9d869411c|char_8b70b310ec
01040005,万花船,小生,小生,1,1,1,0.7542,char_9ece7821a2
01040005,万花船,旦,二旦|旦,2,0.3,0.4445,0.2573,char_4753bacca3|char_942777213b
01040005,万花船,老生,老生,1,0.5077,0.6667,1,char_561db21d7e
01040005,万花船,老旦,老旦,2,0.182,0.3333,0.2224,char_471ed1dfa7|char_f3f578e2ad
01040005,万花船,丑,丑,2,0.2269,0.5,0.1338,char_d1ce281751|char_804853c6b5
02008006,北汉王,老生,老生,4,0.3977,0.5893,0.4993,char_42107f58d6|char_d704060299|char_2d81db9dad|char_cf6cec5844
02008006,北汉王,旦,旦,2,0.6295,0.4643,0.3688,char_945af2d6ee|char_e8f1182c6b
02008006,北汉王,净,净,3,0.2371,0.4524,0.3148,char_416840313a|char_ab23c290e6|char_6b9907d850
02008006,北汉王,末,末,4,0.0914,0.1608,0.1314,char_909ee59582|char_382070ef90|char_2bb46abcd4|char_10190e497e
02008006,北汉王,武生,武生,1,0.1581,0.2143,0.2687,char_53048a0372
02008006,北汉王,小生,小生,1,0.0909,0.0714,0.1026,char_d73c72a05a
02008006,北汉王,老旦,老旦,1,0.0573,0.0714,0.0828,char_8f58850346
02008006,北汉王,丑,丑,2,0.248,0.5,0.4875,char_06cfef4e20|char_eb9e809c02
04008002,十三妹,旦,旦,2,0.6083,0.625,0.5141,char_28c2fffc20|char_36008bff4d
04008002,十三妹,小生,小生,1,1,1,0.8578,char_9e364f3c74
04008002,十三妹,老生,老生,2,0.2204,0.375,0.1573,char_9ae7a5d92b|char_6aaa919478
04008002,十三妹,丑,丑,3,0.3809,0.6945,0.5186,char_343ef6252d|char_c623e8faa8|char_16669c5613
04008002,十三妹,净,净,2,0.163,0.2916,0.1076,char_ef5c19ce75|char_47c9bb3b22
04008002,十三妹,老旦,老旦,1,0.1463,0.3333,0.187,char_6ac8c42935
